,Unnamed: 0,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed,downscaled
543,4,81,91.36256409,-1,0.243769294,-1,98.5,0.062594452,804.0257633,3dc072ff-3085-45fe-bb45-3228d1181c47,3,celeba,800,3,20100000,TRUE
544,5,100,91.39276123,-1,0.243465065,-1,98.25,0.070188417,983.9848523,3dc072ff-3085-45fe-bb45-3228d1181c47,3,celeba,800,3,20100000,TRUE
698,0,1,57.42688751,-1,7061.833371,-1,41,27.15679932,59.58080816,a9c43a31-c450-42b3-832f-8c424beb70a1,4,celeba,100,3,20100000,TRUE
699,1,21,80.98857117,-1,121.3216678,-1,100,0.01162309,177.0537388,a9c43a31-c450-42b3-832f-8c424beb70a1,4,celeba,100,3,20100000,TRUE
700,2,41,84.14456177,-1,10.98414106,-1,98,0.028859481,294.3979065,a9c43a31-c450-42b3-832f-8c424beb70a1,4,celeba,100,3,20100000,TRUE
701,3,61,84.970047,-1,5.989869025,-1,99,0.014934292,410.3306892,a9c43a31-c450-42b3-832f-8c424beb70a1,4,celeba,100,3,20100000,TRUE
702,4,81,85.15125275,-1,5.756699587,-1,100,0.002274364,538.6594918,a9c43a31-c450-42b3-832f-8c424beb70a1,4,celeba,100,3,20100000,TRUE
703,5,100,85.126091,-1,5.615225042,-1,100,0.007811151,655.0627658,a9c43a31-c450-42b3-832f-8c424beb70a1,4,celeba,100,3,20100000,TRUE
704,0,1,61.84124374,-1,3136.807876,-1,74.625,23.26080801,65.73496318,c5c31956-56e5-4fd9-9375-9a8ece436530,4,celeba,1600,3,20100000,TRUE
705,1,21,91.67967224,-1,0.234158609,-1,91.25,0.222505318,299.2554429,c5c31956-56e5-4fd9-9375-9a8ece436530,4,celeba,1600,3,20100000,TRUE
706,2,41,92.67630005,-1,0.195615797,-1,96.8125,0.104618094,544.9375613,c5c31956-56e5-4fd9-9375-9a8ece436530,4,celeba,1600,3,20100000,TRUE
707,3,61,92.41958618,-1,0.203759381,-1,97.0625,0.094206491,787.8804758,c5c31956-56e5-4fd9-9375-9a8ece436530,4,celeba,1600,3,20100000,TRUE
708,4,81,92.56052399,-1,0.201176708,-1,97.25,0.085679493,1029.241109,c5c31956-56e5-4fd9-9375-9a8ece436530,4,celeba,1600,3,20100000,TRUE
709,5,100,92.53536224,-1,0.201008408,-1,97.0625,0.093004352,1264.500686,c5c31956-56e5-4fd9-9375-9a8ece436530,4,celeba,1600,3,20100000,TRUE
710,0,1,42.57311249,-1,144133299.7,-1,49,44.10544495,61.28307819,b044d283-2d5c-4cfa-9323-d64557d1ce8d,4,celeba,200,3,20100000,TRUE
