,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,exp_id,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
4,41,86.55999755859380,-1.0,0.45530997142791700,-1.0,99.359375,0.03306783208623530,747.6771948337560,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
5,51,90.25,-1.0,0.325967852973938,-1.0,99.546875,0.026781292967498300,926.3367383480070,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
6,61,90.91999816894530,-1.0,0.3054522155880930,-1.0,99.9375,0.009011121140792970,1105.9132099151600,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
7,71,91.22000122070310,-1.0,0.3050108538746830,-1.0,99.96875,0.007086770436726510,1283.6123704910300,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
8,81,91.00999450683590,-1.0,0.3068460195541380,-1.0,100.0,0.0050888675078749700,1462.3005883693700,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
9,91,91.22000122070310,-1.0,0.30899310608506200,-1.0,99.984375,0.004585492750629780,1642.8218026161200,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
10,101,91.04999542236330,-1.0,0.3106385801315310,-1.0,100.0,0.003761090338230130,1824.9276368618000,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
11,111,91.12999725341800,-1.0,0.30776813552379600,-1.0,100.0,0.0038848848128691300,2005.5020418167100,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
12,121,91.16999816894530,-1.0,0.30680307836532600,-1.0,99.984375,0.003712359818164260,2182.911883831020,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
13,131,91.00999450683590,-1.0,0.3095987235784530,-1.0,100.0,0.004006791706196960,2359.3061332702600,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
14,141,91.19999694824220,-1.0,0.30874241762161300,-1.0,99.984375,0.003699217645917090,2540.1602895259900,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
15,150,91.20999908447270,-1.0,0.30786980695724500,-1.0,100.0,0.0034267429960891600,2703.7060458660100,8d667afe-d6df-4879-89ee-19fc2a88f761,3.0,cifar10,6400,3,20100000
0,1,11.449999809265100,-1.0,645.70770546875,-1.0,3.0,40.68675231933590,65.27241325378420,05235740-8072-4a3a-820f-f0baa4d55dee,0.0,cifar10,100,3,20100000
1,21,9.989999771118160,-1.0,5106.07526875,-1.0,77.0,2.4764909744262700,161.28849601745600,05235740-8072-4a3a-820f-f0baa4d55dee,0.0,cifar10,100,3,20100000
2,41,37.34000015258790,-1.0,44.861418603515600,-1.0,93.0,0.36018210649490400,256.31953501701400,05235740-8072-4a3a-820f-f0baa4d55dee,0.0,cifar10,100,3,20100000
3,61,50.41999816894530,-1.0,16.59017303314210,-1.0,93.0,0.1515798568725590,352.37398314476000,05235740-8072-4a3a-820f-f0baa4d55dee,0.0,cifar10,100,3,20100000
4,81,51.81999969482420,-1.0,14.774954611206100,-1.0,95.0,0.5717041492462160,448.33843088150000,05235740-8072-4a3a-820f-f0baa4d55dee,0.0,cifar10,100,3,20100000
5,100,51.98999786376950,-1.0,14.480629861450200,-1.0,96.0,0.3409043848514560,543.4878578186040,05235740-8072-4a3a-820f-f0baa4d55dee,0.0,cifar10,100,3,20100000
0,1,24.84000015258790,-1.0,97.69311522216800,-1.0,14.0,23.471914291381800,64.91153836250310,39af574d-416c-4a83-a709-b47bfac28151,3.0,cifar10,100,3,20100000
1,21,31.92999839782720,-1.0,251.82190783691400,-1.0,99.0,0.0076453592628240600,161.13614773750300,39af574d-416c-4a83-a709-b47bfac28151,3.0,cifar10,100,3,20100000
2,41,55.44999694824220,-1.0,13.782235427856400,-1.0,99.0,0.04500104859471320,257.87586879730200,39af574d-416c-4a83-a709-b47bfac28151,3.0,cifar10,100,3,20100000
3,61,57.459999084472700,-1.0,9.72980166015625,-1.0,100.0,0.0016771698137745300,354.920939207077,39af574d-416c-4a83-a709-b47bfac28151,3.0,cifar10,100,3,20100000
4,81,57.47999954223630,-1.0,9.466461416625980,-1.0,100.0,0.00010637283412506800,451.73171305656400,39af574d-416c-4a83-a709-b47bfac28151,3.0,cifar10,100,3,20100000
5,100,57.47999954223630,-1.0,9.42158556919098,-1.0,100.0,0.0003799629339482640,545.7969055175780,39af574d-416c-4a83-a709-b47bfac28151,3.0,cifar10,100,3,20100000
0,1,10.0,-1.0,5197562847.232,-1.0,18.75,93.48467742919920,68.3659770488739,43d91d70-09f8-494e-8016-3340dbbbfdec,0.0,cifar10,400,3,20100000
1,21,59.8599967956543,-1.0,1.8518727436065700,-1.0,77.25,0.8432866913080220,225.16526579856900,43d91d70-09f8-494e-8016-3340dbbbfdec,0.0,cifar10,400,3,20100000
